system,n_med1,n_oct4,n_dna,med1_fragments,box_nm,tier,series_tags,n_protein_sequence_equivalents,n_physical_protein_chains,protein_residues,MED1_fraction_sequence_equivalents,protein_residue_concentration_mM,protein_chain_concentration_mM,available_repeats,analysis_repeats,planned_repeats
M0O100,0,100,0,1,75.0,core,"composition_core,dna_addition",100,100,36000,0.0,141.69933373216827,0.39360926036713406,3,3,3
M0O100D1,0,100,1,1,75.0,core,dna_addition,100,100,36000,0.0,141.69933373216827,0.39360926036713406,3,3,3
M10O90,10,90,0,1,82.668389,core,"composition_core,dna_addition,chain_length",100,100,48210,0.1,141.69933298096245,0.293921039163996,3,3,3
M10O90-S2,10,90,0,2,82.668389,core,chain_length,100,110,48210,0.1,141.69933298096245,0.32331314308039555,3,3,3
M10O90-S4,10,90,0,4,82.668389,core,chain_length,100,130,48210,0.1,141.69933298096245,0.3820973509131948,3,3,3
M10O90D1,10,90,1,1,82.668389,core,"dna_addition,chain_length",100,100,48210,0.1,141.69933298096245,0.293921039163996,3,3,3
M10O90D1-S2,10,90,1,2,82.668389,core,chain_length,100,110,48210,0.1,141.69933298096245,0.32331314308039555,3,3,3
M10O90D1-S4,10,90,1,4,82.668389,core,chain_length,100,130,48210,0.1,141.69933298096245,0.3820973509131948,3,3,3
M15O85,15,85,0,1,86.020182,core,composition_core,100,100,54315,0.15,141.69933438645086,0.2608843494181181,3,3,3
M20O80,20,80,0,1,89.129336,core,"composition_core,dna_addition",100,100,60420,0.2,141.69933276068232,0.23452388738941135,3,3,3
M20O80D1,20,80,1,1,89.129336,core,dna_addition,100,100,60420,0.2,141.69933276068232,0.23452388738941135,3,3,3
M25O75,25,75,0,1,92.035503,optional,composition_optional,100,100,66525,0.25,141.69933439404494,0.21300163005493414,3,3,3
M30O70,30,70,0,1,94.768887,core,composition_core,100,100,72630,0.3,141.69933149332522,0.19509752374132616,3,3,3
M50O0,50,0,0,1,75.0,core,"pure_med1,dna_addition",50,50,79050,1.0,311.1481203202195,0.19680463018356703,3,3,3
M50O0D1,50,0,1,1,75.0,core,"dna_addition,pure_med1",50,50,79050,1.0,311.1481203202195,0.19680463018356703,3,3,3
M50O50,50,50,0,1,104.381999,optional,composition_optional,100,100,97050,0.5,141.69933375158442,0.1460065262767485,3,3,3
M5O95,5,95,0,1,79.020236,core,composition_core,100,100,42105,0.05,141.69933174007392,0.33653801624527696,3,3,3
